,,,,nation,pos,age,Club,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Arsenal,Bernd Leno,GER,GK,26,,,32,31,2835,,42,1.33,145,104,75.9,16,7,8,7,22.6,7,7,0,0,0.0
ENG-Premier League,1819,Arsenal,Petr Čech,CZE,GK,36,,,7,7,585,,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,
ENG-Premier League,1819,Bournemouth,Artur Boruc,POL,GK,38,,,12,12,1080,,18,1.5,56,38,73.2,4,3,5,4,33.3,3,3,0,0,0.0
ENG-Premier League,1819,Bournemouth,Asmir Begović,BIH,GK,31,,,24,24,2160,,47,1.96,104,59,56.7,8,3,13,5,20.8,2,2,0,0,0.0
ENG-Premier League,1819,Bournemouth,Mark Travers,IRL,GK,19,,,2,2,180,,5,2.5,13,9,61.5,1,0,1,1,50.0,0,0,0,0,
ENG-Premier League,1819,Brighton,David Button,ENG,GK,29,,,4,4,360,,5,1.25,18,13,83.3,1,1,2,1,25.0,2,2,0,0,0.0
ENG-Premier League,1819,Brighton,Mathew Ryan,AUS,GK,26,,,34,34,3060,,55,1.62,152,96,69.1,8,8,18,6,17.6,8,8,0,0,0.0
ENG-Premier League,1819,Burnley,Joe Hart,ENG,GK,31,,,19,19,1710,,41,2.16,116,75,65.5,3,3,13,4,21.1,2,1,1,0,50.0
ENG-Premier League,1819,Burnley,Tom Heaton,ENG,GK,32,,,19,19,1710,,27,1.42,83,59,68.7,8,4,7,4,21.1,1,1,0,0,0.0
ENG-Premier League,1819,Cardiff City,Neil Etheridge,PHI,GK,28,,,38,38,3420,,69,1.82,207,135,68.6,10,4,24,10,26.3,7,4,3,0,42.9
ENG-Premier League,1819,Chelsea,Kepa Arrizabalaga,ESP,GK,23,,,36,36,3240,,39,1.08,121,81,68.6,20,8,8,14,38.9,2,1,1,0,50.0
ENG-Premier League,1819,Chelsea,Willy Caballero,ARG,GK,36,,,2,2,180,,0,0.0,3,3,100.0,1,1,0,2,100.0,0,0,0,0,
ENG-Premier League,1819,Crystal Palace,Julián Speroni,ARG,GK,39,,,1,1,90,,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,1819,Crystal Palace,Vicente Guaita,ESP,GK,31,,,20,20,1755,,23,1.18,85,63,74.1,10,4,6,7,35.0,1,1,0,0,0.0
ENG-Premier League,1819,Crystal Palace,Wayne Hennessey,WAL,GK,31,,,18,17,1575,,26,1.49,69,42,66.7,4,3,10,5,29.4,4,3,1,0,25.0
ENG-Premier League,1819,Everton,Jordan Pickford,ENG,GK,24,,,38,38,3420,,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0
ENG-Premier League,1819,Fulham,Fabricio,ESP,GK,30,,,2,2,180,,5,2.5,21,16,76.2,0,0,2,0,0.0,0,0,0,0,
ENG-Premier League,1819,Fulham,Marcus Bettinelli,ENG,GK,26,,,7,7,630,,20,2.86,40,19,52.5,1,2,4,0,0.0,3,1,1,1,50.0
ENG-Premier League,1819,Fulham,Sergio Rico,ESP,GK,24,,,29,29,2610,,56,1.93,165,111,68.5,6,3,20,5,17.2,4,4,0,0,0.0
ENG-Premier League,1819,Huddersfield,Ben Hamer,ENG,GK,30,,,7,7,553,,21,3.42,42,22,57.1,0,1,6,0,0.0,3,3,0,0,0.0
ENG-Premier League,1819,Huddersfield,Joel Coleman,ENG,GK,22,,,1,1,90,,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
ENG-Premier League,1819,Huddersfield,Jonas Lössl,DEN,GK,29,,,31,30,2777,,54,1.75,141,86,64.5,3,5,22,5,16.7,5,4,1,0,20.0
ENG-Premier League,1819,Leicester City,Kasper Schmeichel,DEN,GK,31,,,38,38,3420,,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0
ENG-Premier League,1819,Liverpool,Alisson,BRA,GK,25,,,38,38,3420,,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,
ENG-Premier League,1819,Manchester City,Ederson,BRA,GK,24,,,38,38,3420,,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0
